no,latitude,longitude,nama masjid,alamat,
106,-2.97748,104.83398,Masjid Jami` Kelurahan Sei Lais,Jln. Mayor Zein,
107,-2.97965,104.83501,Masjid Miftahul Huda,Jln. Mayor Zein,
108,-2.9716,104.82802,Masjid Syariful Azhar,Jln. Mayor Zein,
109,-2.97914,104.83715,Musholla Al Muhajirin,Jln. Pelabuhan Rakyat II / Jln. Pinisi,
110,-2.98074,104.83486,Musholla Ar Rahman,"Jln. Mayor Zein, Lrg. Musi Bahagia",
111,-3.41131,104.25434,Masjid Al Munawaroh,"Jl. Angkatan 45 Kel. Gunung Ibul Barat, Kecamatan Prabumulih Timur Kota Prabumulih",
112,-3.40388,104.25624,Masjid Al Barokah,Jl. Taman Murni No. 30 Komplek SAS Kota Prabumulih,
113,-3.43104,104.23495,Masjid ar Rahman,Jl. Urip Sumoharjo 785. Kel Pasar 1. Kota Prabumulih,
114,-3.45685,104.18891,Masjid Baitul jannah,Jln Jendral Sudirman Kelurahan Patih Galung Tugu Nanas Kota Prabumulih,
115,-3.44492,104.21059,Masjid Nurul Iman,Jln Haji Habrari Roni Kelurahan Patih Galung Kota Prabumulih,
116,-3.43104,104.23979,Masjid  An-Nuqoba,Jl. Jenderal Sudirman Kel.Pasar 1 Kota Prabumulih,
117,-3.41804,104.2549,Masjid Mardhotillah,Jl. Jend. Sudirman No.27 RT.01 RW. O7 Kel. Muara Dua Kec.Prabumulih Timur Kota Prabumulih,
118,-3.43285,104.24017,Masjid Agung Nur Arafah Kota Prabumulih,Jl. Veteran 2 Kelurahan Pasar I Kota Prabumulih,
119,-3.43178,104.22777,Masjid Nurul Huda,Jl. Baru Komplek SUB DENPOM II/4-1 RT 02 RW 06 Kel. Wonosari Kec. Prabumulih Utara Kota Prabumulih,
120,-3.42483,104.24217,Masjid Al Falah,Jl. M Yamin Kel. Mangga Besar Kota Prabumulih,
121,-3.0062074,104.69452,Musholla Hijratul Muslimin,Jl. Perum Pns Pemkot Rt.34 Rw.07 Kec.Gandus Palembang,
122,-3.004413,104.69109,Masjid Al-Fathul Akbar,Jl. Perum Pns Pemkot Rt.26 Rw.07 Kec.Gandus Palembang,
123,-3.002671,104.68949,Musholla Shiraathal Mustaqiim,Perum Pns Pemkot Blok Z Rt.27 Rw.07 Kec.Gandus Palembang,
124,-3.007102,104.689202,Musholla Ar-Rahman,Jl. Perum Pns Pemkot Rt.28 Rw.07 Kec.Gandus Palembang,
125,-3.00527,104.68793,Musholla Al-Kautsar,"Jl. Kajang Bayan, Lr. Keluarga Rt.17 Rw.05 Kec.Gandus",
126,-3.003499,104.68504,Masjid Al-Ikhlas,Perumahan Puri Kajang Bayan Permai Rt.17 Rw.05 Kec.Gandus,
127,-3.004923,104.68396,Masjid Al-Akhyar,Perumahan Villa Bayani Kec.Gandus,
128,-3.002899,104.68725,Masjid Ath-Thoyyibah,"Jl.Latsitarda, Kajang Bayan Kec.Gandus",
129,-3.0154222,104.69181,Masjid Jami' Gandus,Jl. Sofyan Kenawas Rt.13 Rw.04 Kec.Gandus,
130,-3.009149,104.69183,Masjid Sopiah,Jl. Lettu Karim Kadir Perumahan Pns Pemkot Kec.Gandus,
131,-3.00466,104.76982,Masjid Nurul Hidayah,"Jl. Letnan Jaimas No.746, 24 Ilir, Kec. Ilir Tim. I, Kota Palembang, Sumatera Selatan 30134",
132,-3.00346,104.76573,Majid Nurul falah,Jl.Bungaran IV No 739 RT.15 RW. 03 Kec. Jakabaring,
133,-3.00376,104.76773,Mushola Haqul Yaqin,Jl.Bungaran II 8 Ulu Palembang,
134,-3.00492,104.76883,Masjid AlHijrah,"5 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30111",
135,-3.01045,104.75757,Langgar Syuhada,"Lrg. Syuhada, 3-4 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30132",
136,-3.00764,104.75919,Masjid Musyawarah,"Jl. H Faqih Usman, 3-4 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30254",
137,-3.00663,104.75915,Masjid Darussalam,"Jalan Kh Faqih Usma Lorong Jambangan Darat, 3-4 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30254",
138,-3.00468,104.76255,Surau Nurul Ikhsan,"Jl. H Faqih Usman Lorong Jambangan Barat, 3-4 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30254",
139,-3.01041,104.75797,Masjid Jamik,"Lorong Erlangga Jalan KH. Faqih Usman, RT.28, 5 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30254",
140,-3.03712,104.77969,Masjid Al-Muhajjirin,Perum Top Blok A Rt 021 Rw 008 Kelurahan 15 Ulu Kecamatan Jakabaring,
141,-2.97142,104.68806,Masjid Al-Ma'un,Tj.Barangan  Bukit Baru Kec. Ilir Bar. I  Kota Palembang Sumatera Selatan 30153,
142,-2.97626,104.69788,Mushollah Al-Quddus,Perumahan Barangan Permai I Tj. Barangan  Bukit Baru  Kec. Ilir Bar. I  Kota Palembang  Sumatera Selatan 30153,
143,-2.97818,104.70029,Mushollah Hj.Afrida Nawawi-HM.Zein Dahnian, Jl. Tj. Barangan  Bukit Baru Kec. Ilir Bar. I Kota Palembang Sumatera Selatan ,
144,-2.99233,104.70701,Masjid Al-Hasan,Bukit Baru Kec. Ilir. I Kota Palembang Sumatera Selatan 30149,
145,-3.00763,104.72956,Mushollah Nurul Idjtihad,Lrg. Swadaya Bukit Lama Kec. Ilir Bar. I Kota Palembang Sumatera Selatan 30136,
146,-3.00617,104.732,Mushollah Amaliyah,Lorong Lebak Keranji Kec. Ilir Bar. I Kota Palembang Sumatera Selatan 30136,
147,-3.0031,104.73083,Mushollah Istiqomah,Jl. Sultan Muhammad Mansyur Bukit Lama Kec. Ilir Bar. I Kota Palembang Sumatera Selatan 30136,
148,-3.00816,104.72752,Mushollah Baitul Athiq,Kapas 1 34-36 Bukit Lama Kec. Ilir Bar. I Kota Palembang Sumatera Selatan 30139,
149,-3.01446,104.7265,Masjid Az-Zakariyya,Karang Jaya Kec. Gandus Kota Palembang Sumetera Selatan ,
150,-3.00752,104.73274,Masjid Ar-Rahman Tiga Putri,Jl. PDAM Bukit Lama Kec. Ilir Bar. I Kota Palembang Sumatera Selatan 30136,
151,2°57.8130'S,104°44.8500'E,Masjid Darul Muttaqin,Jalan Prof K H Zainal Abidin Fikri,
152,2°58.3010'S,104°44.7250'E,Masjid Nurul Huda,Jalan Seroja,
153,2°58.1260'S,104°44.5780'E,Masjid Al badar,Jalan Kamboja,
154,2°58.0640'S,104°44.3540'E,Masjid Al Mu'awwanah,Jalan Trikora,
155,2°58.2360'S,104°44.3980'E,Masjid Al Ikhlas,Jalan YKP II,
156,2°58.4870'S,104°44.6070'E,Masjid Al Mukhlis,Jalan Dwikora II,
157,2°58.3910'S,104°44.8070'E,Masjid Muttaqin,Jalan Dr M Isa,
158,2°58.3100'S,104°45.0300'E,Masjid Al Munar,Jalan Kapten Marzuki,
159,2°57.7520'S,104°43.8200'E,Masjid Syuada,Jalan Inspektur Marzuki,
160,2°57.8820'S,104°44.0120'E,Masjid Muhajirin,Jalan Mesuji II,
161,-3.03594,104.7802,Masjid Dua Kalimah Syahadat,"Pipa Putih, Kec. Pemulutan, Kabupaten Ogan Ilir, Sumatera Selatan 30967",
162,-3.04667,104.78387,Masjid At-Taqwa,"Jl. Kutilang II, Sungai Kedukan, Kec. Rambutan, Kab. Banyuasin, Sumatera Selatan 30967",
163,-3.04581,104.78298,Masjid Almaghfiroh,"Jl. Kutilang 6, Sungai Kedukan, Kec. Rambutan, Kab. Banyuasin, Sumatera Selatan 30967",
164,-3.04398,104.79009,Masjid Baitussalam,"Sungai Kedukan, Kec. Rambutan, Kab. Banyuasin, Sumatera Selatan 30967",
165,-3.04484,104.79313,Masjid Tarbiyah Islamiyah,"Jl. Pipa Raya, Sungai Kedukan, Kec. Plaju, Kab. Banyuasin, Sumatera Selatan 30267",
166,-3.00454,104.77161,Mushola Alhijrah,"Jl. Gub H Bastari No.562, 8 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30257",
167,-3.00548,104.76124,Mushola Raudatus Salikin,"Lrg. Kedukan, 5 Ulu, Kecamatan Seberang Ulu I, Kota Palembang, Sumatera Selatan 30123",
